Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,min_salary,max_salary,avg_salary,job_state,same_state,age,python_yn,R_yn,spark,aws,excel
Data Engineer,$42K-$79K (Glassdoor est.),3.4,"IntraEdge
3.4","Scottsdale, AZ","Chandler, AZ",501 to 1000 employees,2002,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),Not Available,42,79,60.5, AZ,0,18,1,0,1,1,0
Lead Data Scientist,$139K-$221K (Glassdoor est.),3.9,"Zest AI
3.9","Burbank, CA","Burbank, CA",51 to 200 employees,2009,Company - Private,Financial Analytics & Research,Finance,$50 to $100 million (USD),Not Available,139,221,180, CA,1,11,1,0,0,0,1
"Technology-Minded, Data Professional Opportunities",$40K-$101K (Glassdoor est.),4.7,"Veterans United Home Loans
4.7","Columbia, MO","Columbia, MO",1001 to 5000 employees,2002,Company - Private,Lending,Finance,Unknown / Non-Applicable,Not Available,40,101,70.5, MO,1,18,0,0,1,0,1
Big Data Engineer,$84K-$153K (Glassdoor est.),3.3,"Peraton
3.3","Chantilly, VA","Herndon, VA",1001 to 5000 employees,2017,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),Not Available,84,153,118.5, VA,0,3,1,0,1,0,0
Salesforce Analytics Consultant,$52K-$81K (Glassdoor est.),3.9,"Emtec, Inc.
3.9","Chicago, IL","Jacksonville, FL",501 to 1000 employees,1995,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),Not Available,52,81,66.5, IL,0,25,1,0,0,0,0
Managing Data Scientist/ML Engineer,$81K-$134K (Glassdoor est.),3.4,"PA Consulting
3.4","Boston, MA","London, United Kingdom",1001 to 5000 employees,1943,Company - Private,Consulting,Business Services,$100 to $500 million (USD),"McKinsey & Company, Accenture, Deloitte",81,134,107.5, MA,0,77,0,0,1,0,1
Senior Data Engineer,$97K-$180K (Glassdoor est.),4.7,"Praetorian
4.7","Austin, TX","Austin, TX",51 to 200 employees,2010,Company - Private,Security Services,Business Services,$10 to $25 million (USD),Not Available,97,180,138.5, TX,1,10,1,0,1,0,0
Staff Scientist- Upstream PD,$49K-$113K (Glassdoor est.),2.7,"Advanced BioScience Laboratories
2.7","Rockville, MD","Rockville, MD",201 to 500 employees,1961,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD),Not Available,49,113,81, MD,1,59,0,0,0,0,0
Data Engineering Analyst,$44K-$73K (Glassdoor est.),3.8,"COUNTRY Financial
3.8","Bloomington, IL","Bloomington, IL",1001 to 5000 employees,1925,Company - Private,Insurance Carriers,Insurance,$2 to $5 billion (USD),"Northwestern Mutual, American Family Insurance, MetLife",44,73,58.5, IL,1,95,1,0,1,0,1
Sr. Data Engineer,$75K-$140K (Glassdoor est.),3.4,"Echo Global Logistics
3.4","Chicago, IL","Chicago, IL",1001 to 5000 employees,2005,Company - Public,Transportation Management,Transportation & Logistics,$2 to $5 billion (USD),"C.H. Robinson, Total Quality Logistics, Coyote Logistics",75,140,107.5, IL,1,15,0,0,0,0,0
"Scientist, Pharmacometrics",$84K-$157K (Glassdoor est.),3.8,"Agios Pharmaceuticals
3.8","Cambridge, MA","Cambridge, MA",501 to 1000 employees,2008,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million (USD),Not Available,84,157,120.5, MA,1,12,0,0,0,0,0
Manager of Data Science,$40K-$87K (Glassdoor est.),3.9,"Tapjoy
3.9","San Francisco, CA","San Francisco, CA",201 to 500 employees,2007,Company - Private,Internet,Information Technology,$10 to $25 million (USD),"FLURRY, Chartboost",40,87,63.5, CA,1,13,1,0,1,0,0
Scientist Manufacturing Pharma - Kentucky BioProcessing,$68K-$139K (Glassdoor est.),3.1,"Reynolds American
3.1","Owensboro, KY","Winston-Salem, NC",5001 to 10000 employees,1875,Company - Private,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Not Available,68,139,103.5, KY,0,145,0,0,0,0,0
Software Engineer (Data Scientist/Software Engineer) - SISW - MG,$72K-$142K (Glassdoor est.),4.1,"Mentor Graphics
4.1","Fremont, CA","Wilsonville, OR",5001 to 10000 employees,1981,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),"Cadence Design Systems, Synopsys, Altium Limited",72,142,107, CA,0,39,1,0,0,0,1
Data Engineer,$74K-$137K (Glassdoor est.),3.7,"Maxar Technologies
3.7","Springfield, VA","Westminster, CO",5001 to 10000 employees,Not available,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),Not Available,74,137,105.5, VA,0,Not Available,1,0,1,0,0
